Unidade da Federação;2008/Jan;2008/Fev;2008/Mar;2008/Abr;2008/Mai;2008/Jun;2008/Jul;2008/Ago;2008/Set;2008/Out;2008/Nov;2008/Dez;2009/Jan;2009/Fev;2009/Mar;2009/Abr;2009/Mai;2009/Jun;2009/Jul;2009/Ago;2009/Set;2009/Out;2009/Nov;2009/Dez;2010/Jan;2010/Fev;2010/Mar;2010/Abr;2010/Mai;2010/Jun;2010/Jul;2010/Ago;2010/Set;2010/Out;2010/Nov;2010/Dez;2011/Jan;2011/Fev;2011/Mar;2011/Abr;2011/Mai;2011/Jun;2011/Jul;2011/Ago;2011/Set;2011/Out;2011/Nov;2011/Dez;2012/Jan;2012/Fev;2012/Mar;2012/Abr;2012/Mai;2012/Jun;2012/Jul;2012/Ago;2012/Set;2012/Out;2012/Nov;2012/Dez;2013/Jan;2013/Fev;2013/Mar;2013/Abr;2013/Mai;2013/Jun;2013/Jul;2013/Ago;2013/Set;2013/Out;2013/Nov;2013/Dez;2014/Jan;2014/Fev;2014/Mar;2014/Abr;2014/Mai;2014/Jun;2014/Jul;2014/Ago;2014/Set;2014/Out;2014/Nov;2014/Dez;2015/Jan;2015/Fev;2015/Mar;2015/Abr;2015/Mai;2015/Jun;2015/Jul;2015/Ago;2015/Set;2015/Out;2015/Nov;2015/Dez;2016/Jan;2016/Fev;2016/Mar;2016/Abr;2016/Mai;2016/Jun;2016/Jul;2016/Ago;2016/Set;2016/Out;2016/Nov;2016/Dez;2017/Jan;2017/Fev;2017/Mar;2017/Abr;2017/Mai;2017/Jun;2017/Jul;2017/Ago;2017/Set;2017/Out;2017/Nov;2017/Dez;2018/Jan;2018/Fev;2018/Mar;2018/Abr;2018/Mai;2018/Jun;2018/Jul;2018/Ago;2018/Set;2018/Out;2018/Nov;2018/Dez;
11 Rondônia;0.346820964;0.649452384;0.457964362;0.500814828;0.557725604;0.481398211;0.958109652;0.765282552;0.694311467;0.668869002;0.621331766;0.494119443;0.575825438;0.576490364;0.960817273;1.144336697;1.090477736;0.952173242;0.744716502;0.871052338;0.781287402;0.777297849;0.683543361;0.663595598;0.585709333;0.530598827;0.671579192;0.881127279;0.960588939;0.91701319;0.886894658;0.8753599;0.777955285;0.699134445;0.662607714;0.75744905;0.723141479;0.620379269;0.821463347;1.079003207;1.013032405;0.810679658;0.766910568;0.66985737;0.693327751;0.548699455;0.574072841;0.490975004;0.457858468;0.455342762;0.579241276;0.794334127;0.832069715;0.836472201;0.725781142;0.584901614;0.613203305;0.594335511;0.528298232;0.454084909;0.395205686;0.479685965;0.828601088;0.793883165;0.744120809;0.705352462;0.614507231;0.709981518;0.718660999;0.693201189;0.700144774;0.671213172;0.611370345;0.548460393;0.646828681;0.747484603;0.817829366;0.935642548;0.79094966;0.741193608;0.717745353;0.607938893;0.668561209;0.715457719;0.623231256;0.584208609;0.713153007;0.902045239;0.840400768;0.756700019;0.662253903;0.607961525;0.553669147;0.5468826;0.502770042;0.432642387;0.376550052;0.368157406;0.487892489;0.783313629;0.751981084;0.785551668;0.766528337;0.532093758;0.505237291;0.463274061;0.516986995;0.499082684;0.52054837;0.474585056;0.883824679;0.779715005;0.615243871;0.594200427;0.57980228;0.542699364;0.543253139;0.585340029;0.586447579;0.569280558;0.492151464;0.505237573;0.550754471;0.666822562;0.819304172;0.761839088;0.74932194;0.650891648;0.613340206;0.52230641;0.496703154;0.302118413;
12 Acre;0.279381772;0.335258127;0.473478582;0.526414076;0.547000101;0.682279696;0.688161418;0.610228608;0.692572709;0.592583443;0.498475899;0.557293114;0.698853475;0.491946546;0.583101347;0.677149951;0.790008276;0.750941933;0.82907462;0.794348981;0.001446902;0.720556999;0.603357969;0.5411412;0.484447859;0.354806883;0.466707515;0.626370612;0.545856743;0.534939608;0.439414678;0.474895366;0.469436799;0.481718575;0.567691012;0.489906427;0.513139314;0.557352362;0.556012573;0.62166225;0.580128781;0.596206253;0.503760789;0.514479103;0.564051309;0.482324159;0.527876997;0.526537207;0.407229443;0.388778918;0.54560838;0.535065223;0.625999953;0.657629424;0.517932592;0.529793644;0.421726284;0.495528383;0.517932592;0.390096813;0.455913546;0.462353003;0.556369074;0.707052364;0.636218339;0.502277636;0.526747572;0.459777221;0.533187029;0.578263227;0.595005815;0.579551118;0.608782928;0.42905907;0.489810796;0.460700594;0.548031201;0.529046286;0.526514965;0.554359506;0.506264389;0.606251606;0.510061372;0.413871138;0.470434206;0.324823618;0.389539435;0.354692457;0.375849551;0.400740249;0.358426062;0.446788042;0.38082769;0.281264896;0.301177455;0.327312688;0.290196856;0.280401182;0.293870234;0.357542118;0.411418328;0.453049944;0.476314671;0.402847113;0.37223563;0.324481717;0.324481717;0.35386874;0.348352678;0.313396873;0.355584913;0.308575382;0.304959264;0.244690635;0.215761693;0.331477461;0.268798087;0.292905539;0.303753892;0.198886477;0.287599294;0.197868314;0.263440953;0.34626955;0.358923918;0.401488614;0.400338217;0.41529338;0.323261606;0.355472727;0.306005648;0.173709973;
13 Amazonas;0.286133652;0.396875756;0.45553914;0.417228359;0.354075429;0.446260748;0.537548158;0.513903222;0.436084447;0.456736352;0.36724476;0.370836396;0.280841842;0.267285992;0.427303957;0.540760524;0.556673913;0.480053893;0.487715895;0.476812277;0.439681037;0.401665719;0.398718795;0.401371027;0.364844293;0.34071286;0.420863693;0.537498955;0.591794681;0.663901702;0.581165359;0.416841787;0.377484568;0.359673272;0.341287418;0.342149255;0.365420741;0.328115607;0.363725053;0.445965916;0.588968928;0.565794527;0.534706916;0.414878305;0.338289735;0.356659687;0.351290009;0.429291652;0.307715014;0.346144582;0.492622498;0.591481167;0.556950252;0.534393767;0.408244535;0.389029751;0.396548579;0.367587166;0.350878659;0.294348208;0.344019742;0.38603742;0.477951092;0.462457073;0.448013496;0.436458635;0.384461757;0.419651563;0.386300031;0.344282352;0.302002064;0.279680172;0.278025672;0.24575714;0.271313817;0.295837901;0.419490916;0.429816846;0.397290166;0.415876841;0.365021634;0.41897462;0.382059419;0.302807904;0.27067269;0.296064125;0.381379344;0.418958667;0.467202392;0.440541386;0.387981117;0.304443298;0.261277859;0.24375777;0.261023945;0.247566485;0.224656374;0.219158666;0.269637629;0.346355656;0.420824621;0.469804209;0.358850449;0.324364821;0.281382734;0.265889191;0.231403563;0.217909186;0.238703775;0.244609847;0.328525298;0.416624217;0.490696213;0.480114499;0.382910385;0.317697498;0.283491493;0.263066325;0.222215988;0.23968812;0.248982322;0.265646493;0.343330937;0.348722287;0.436699308;0.458019645;0.399204923;0.359014863;0.323480969;0.301915571;0.242365665;0.225456433;
14 Roraima;0.261638682;0.220454815;0.324625772;0.290709646;0.397303184;0.341583835;0.479670917;0.443332211;0.494206399;0.799451528;0.872128939;0.668632187;0.752077704;0.500594307;0.514829217;0.586003763;0.695138067;0.552788975;0.685648127;0.775802552;0.759195158;0.559906429;0.562278914;0.45788958;0.427722632;0.319129839;0.483127118;0.511937451;0.722474497;0.875390879;1.050469054;0.600584628;0.658205294;0.511937451;0.412209376;0.4742624;0.452011778;0.271641694;0.430280443;0.517205785;0.586746058;0.77146241;0.575880391;0.441146111;0.469396847;0.384644638;0.443319244;0.656286332;0.4110546;0.477078914;0.553752311;0.619776625;0.796551401;0.687930755;0.675151856;0.568661027;0.641074791;0.600608276;0.540973411;0.25557799;0.405677851;0.295038437;0.417971119;0.348309266;0.565490337;0.567539216;0.858479896;0.520415021;0.667934239;0.565490337;0.612614532;0.409775607;0.698279054;0.480947245;0.291788077;0.285751083;0.338071703;0.336059372;0.488996571;0.806944959;0.714377707;0.631872112;0.658032423;0.414540303;0.442981025;0.397496366;0.336190956;0.466712151;0.39947396;0.421227493;0.611076503;0.601188534;0.381675615;0.413317117;0.318392612;0.391563585;0.353927919;0.29947747;0.326702695;0.429769616;0.474496771;0.491998701;0.913989682;0.7759189;0.569785057;0.668962661;0.501721995;0.388931779;0.376935381;0.440076841;0.455383862;0.484084525;0.463037372;0.815098845;0.870586795;0.859106529;0.67733566;0.441990219;0.436250086;0.487911281;0.468288216;0.551539454;0.419724993;0.378099374;0.464819414;0.613977883;0.801293169;0.740589141;0.582758669;0.631321891;0.558477057;0.17344008;
15 Pará;0.617360421;0.675135522;0.744247109;0.811719686;0.979308455;1.069454003;1.061258954;0.876733748;0.862665579;0.840402361;0.748754387;0.737008148;0.779657667;0.78797187;1.012321246;1.106727679;1.116651082;1.005482144;1.028949652;0.911880312;0.976114234;0.984294337;0.897129307;0.919121714;0.834203338;0.779512282;0.971919371;0.969679015;1.111348618;1.040975066;0.932515454;0.845932264;0.817466557;0.828536554;0.778589783;0.84514155;0.893011244;0.856203469;0.96506604;1.087195017;1.089145959;1.092267467;0.860755668;0.733164052;0.756055107;0.716646076;0.727311226;0.693885084;0.66464635;0.681393546;0.872004761;1.008666994;1.103013792;0.978879996;0.779447739;0.530796623;0.686762876;0.678197516;0.675257169;0.664134985;0.626521223;0.634771503;0.795026932;0.907030726;0.99365866;0.968532809;0.814902605;0.669397676;0.618270944;0.70139876;0.64589688;0.659022324;0.617529192;0.575455775;0.643069361;0.775335354;0.79273228;0.820493332;0.68020748;0.619626694;0.612223747;0.606424771;0.609015803;0.570767241;0.524557133;0.479716941;0.582069553;0.72743463;0.752169845;0.7518043;0.591451875;0.514565569;0.480448031;0.504208459;0.464729595;0.485200117;0.437548816;0.449950448;0.54807986;0.639105426;0.645727656;0.544588139;0.498954952;0.460305208;0.461990866;0.494620401;0.489322617;0.483904428;0.536536344;0.557572298;0.694186475;0.678648555;0.65079982;0.593189992;0.557094208;0.492791122;0.509285222;0.544305304;0.553269489;0.512512329;0.479591406;0.439302439;0.508721622;0.585188437;0.699125166;0.741528422;0.615023415;0.511305754;0.484407289;0.477946959;0.440359584;0.198508322;
16 Amapá;0.437077193;0.376734446;0.197337091;0.479480204;0.340854975;0.481111089;0.458278699;0.430553653;0.397935952;0.430553653;0.375103561;0.311499044;0.287260477;0.312794741;0.284068694;0.499514051;0.628781266;0.639952506;0.641548398;0.359075596;0.419719474;0.494726376;0.39418521;0.295239934;0.234787771;0.218337673;0.303579093;0.334983827;0.396297831;0.462098225;0.465089152;0.39181144;0.358911243;0.27666075;0.312551874;0.321524655;0.2908043;0.292265629;0.349257426;0.59037657;0.718973446;0.724818759;0.604989851;0.44862774;0.397481255;0.447166412;0.396019927;0.379945317;0.347837538;0.314914644;0.296306051;0.43229192;0.631260718;0.57257208;0.588317812;0.64414359;0.515314872;0.43372335;0.470940536;0.419409048;0.380954454;0.340137906;0.463948103;0.631295953;0.614969333;0.636738159;0.474832516;0.514288513;0.41088659;0.491159136;0.463948103;0.389117764;0.443460752;0.368884769;0.364889628;0.396850763;0.43946561;0.484743885;0.59394443;0.617915282;0.378206767;0.44612418;0.33559192;0.26501108;0.258256715;0.228257198;0.329994691;0.324777384;0.42129757;0.529556698;0.512600449;0.444775454;0.416080263;0.352168248;0.269995657;0.307821135;0.299119897;0.190465234;0.233927099;0.378373887;0.394991659;0.533046996;0.470410779;0.356642954;0.336190312;0.274832384;0.290171866;0.221144198;0.199317557;0.259488895;0.308378107;0.312138815;0.456299312;0.542795611;0.384845849;0.46382073;0.40866367;0.265756742;0.278292438;0.236924643;0.28209969;0.28209969;0.276071919;0.284510798;0.395421787;0.52441609;0.526827198;0.564199379;0.419532872;0.417121763;0.360460715;0.379749582;
17 Tocantins;0.481058704;0.681760144;0.997259683;0.979298076;1.04567793;0.97305056;1.033182898;0.803586699;0.741111542;0.674731689;0.696597993;0.566181105;0.700436747;0.91018079;1.01466583;1.07658289;0.97674163;0.967454071;0.807243677;0.903989084;0.797956118;0.769319477;0.763901735;0.646259319;0.760416147;0.731502986;0.907873271;0.894139519;0.884742742;0.849324119;0.824747931;0.717769234;0.690301731;0.696084363;0.59344264;0.628861262;0.798776779;0.911562062;1.006501572;1.150695414;0.999363263;0.866590715;0.689560651;0.605328605;0.685277666;0.624602039;0.599617958;0.645303135;0.535376463;0.59180613;0.831632214;0.802006639;0.717362139;0.706781576;0.593922243;0.570645005;0.624958559;0.609440401;0.542430172;0.446499738;0.485737712;0.652160383;0.909912567;0.916001201;0.811141389;0.740783837;0.613599032;0.555418749;0.50603316;0.583832376;0.529034667;0.50873922;0.56250334;0.582545027;0.729517396;0.682085404;0.648014537;0.70413126;0.646010368;0.560499172;0.503714393;0.550478328;0.424883758;0.408850409;0.423067124;0.403266791;0.649450937;0.847454271;0.624370514;0.554409336;0.480488091;0.364986146;0.401946769;0.387426524;0.33726568;0.306245157;0.285080194;0.305303274;0.399895101;0.437079474;0.370539017;0.393371527;0.381629093;0.296170271;0.283775479;0.331397571;0.355534796;0.437079474;0.389628653;0.463167836;0.618632249;0.524450488;0.543157824;0.494776783;0.348343498;0.394144217;0.359954948;0.308993584;0.305768181;0.299317376;0.291918425;0.279058582;0.443021574;0.372292441;0.542042362;0.512464724;0.398012126;0.297705354;0.268770708;0.275843622;0.309922204;0.241765039;
21 Maranhão;0.362696988;0.397269766;0.524142345;0.641340891;0.600583075;0.61929678;0.628970814;0.572988289;0.497340513;0.509234817;0.512565222;0.446115709;0.49394249;0.546085227;0.673929166;0.845434793;0.862711001;0.77067593;0.785596291;0.698744083;0.692932994;0.646130177;0.634193887;0.633565662;0.643105611;0.615250386;0.81328125;0.808410391;0.831699185;0.788165883;0.795472171;0.757875228;0.688313272;0.639452467;0.6504119;0.670960836;0.74618994;0.853626846;0.998079829;1.020951551;0.956549596;0.835720695;0.758528632;0.694277149;0.7121833;0.69517998;0.707368201;0.707970088;0.631933508;0.574295453;0.67363546;0.775507371;0.845656012;0.796507283;0.740358583;0.647273869;0.627316506;0.559401899;0.550465766;0.487912838;0.49600393;0.566504192;0.777121885;0.934753995;0.930780076;0.803467494;0.764464218;0.640831191;0.589317429;0.595940627;0.563560549;0.552963432;0.571459099;0.522268367;0.659330971;0.717863563;0.732898119;0.691297649;0.67042443;0.636706154;0.640355318;0.595105683;0.629699758;0.579341294;0.561828592;0.553862474;0.742876733;0.917841657;0.871927848;0.757939939;0.673643924;0.580078245;0.542999585;0.518811554;0.478980963;0.477387739;0.444202475;0.416161205;0.465341278;0.534941148;0.580957591;0.564851836;0.49985361;0.459876825;0.414291787;0.430828946;0.379491852;0.342247294;0.402129702;0.558553156;0.769403401;0.718119364;0.71326238;0.682834804;0.627979456;0.502412135;0.477698658;0.44427118;0.480270003;0.46912751;0.459982189;0.426435899;0.546406531;0.642496754;0.764315275;0.735033344;0.654152668;0.535177053;0.468795198;0.463962258;0.420750087;0.352236052;
22 Piauí;0.484662453;0.513831952;0.739174349;0.988557543;1.032792608;0.962272939;1.021573569;0.856172891;0.747187948;0.781165607;0.68083535;0.593006308;0.633956745;0.637453999;0.839976791;1.220223665;1.356934498;1.208778107;1.149642724;1.068252088;0.974462099;0.858098925;0.802460795;0.802142863;0.762740801;0.784221942;1.004483787;1.092652648;1.137538614;0.982040805;0.883932908;0.835520188;0.756007906;0.741259661;0.762420187;0.738374134;0.884302531;1.007538066;1.147013942;1.221210014;1.056259091;0.895129426;0.839402763;0.760430121;0.822843983;0.762340749;0.729860066;0.751513855;0.712489575;0.606818386;0.758364792;0.834612566;0.861504935;0.802974486;0.756466507;0.7302069;0.688128253;0.728624996;0.643202179;0.572016497;0.647265249;0.648207411;0.769746301;1.082230009;1.113949461;0.970740847;0.879979247;0.789531702;0.657629031;0.692489022;0.627479849;0.663596056;0.744040632;0.684567464;0.825424967;0.908374385;0.947814486;0.902114052;0.770960066;0.697088131;0.702096398;0.681437297;0.596922796;0.602244079;0.591443021;0.589570378;0.74843291;1.029017225;0.966595798;0.768719874;0.662291341;0.574277129;0.548684344;0.534015308;0.523091559;0.51965838;0.502462502;0.497170146;0.593366499;0.673374468;0.70979833;0.688317591;0.657186085;0.596790964;0.581225212;0.605507786;0.542622144;0.523320611;0.510366212;0.527140269;0.797699593;0.919777452;0.836528429;0.737747872;0.64611182;0.615359383;0.567832888;0.540186757;0.506949274;0.538633604;0.533920493;0.510027321;0.617852917;0.686775528;0.795520092;0.720164704;0.699028436;0.584770063;0.553525146;0.535758429;0.463466268;0.517991712;
23 Ceará;0.337020401;0.454291194;0.559255062;0.623629745;0.709068204;0.748829038;0.698772988;0.640078424;0.615109567;0.558426711;0.470266529;0.473461596;0.413205302;0.416247017;0.54189325;0.742412471;0.88560706;0.796461409;0.7057949;0.683683971;0.631389868;0.575118138;0.58225447;0.535341864;0.50946638;0.47987377;0.516686977;0.533258839;0.573386419;0.554092037;0.497392595;0.451819975;0.446611676;0.442113599;0.457028275;0.439509449;0.474434521;0.530236555;0.631289818;0.738321871;0.643599091;0.585217971;0.529064243;0.484750863;0.497763522;0.468924656;0.460601243;0.440906408;0.397745528;0.353474115;0.447362045;0.473506581;0.483383405;0.497559553;0.446781056;0.387287714;0.398907507;0.3768299;0.36276995;0.344410676;0.32214792;0.362017712;0.451667788;0.538470021;0.575150229;0.540520467;0.467273963;0.454971285;0.446313844;0.441643383;0.401545763;0.384344796;0.405754247;0.37906584;0.403379431;0.453589822;0.564075302;0.582169136;0.487515763;0.447483153;0.450762661;0.412200175;0.425205119;0.389582882;0.374868367;0.364648768;0.447303986;0.571623722;0.647203833;0.523782523;0.455726732;0.404965647;0.433715288;0.415746762;0.387221728;0.355664505;0.333122742;0.336804273;0.383660118;0.437544339;0.456844484;0.486408291;0.443568662;0.386337594;0.394816271;0.372057718;0.367595257;0.349856973;0.383905034;0.42459032;0.62956878;0.612274762;0.54786563;0.47458777;0.431685302;0.408848329;0.426807502;0.394658366;0.365835002;0.387895961;0.394682518;0.356117783;0.481508265;0.542881286;0.604364492;0.595549696;0.556323851;0.46784533;0.452749991;0.45407221;0.416939879;0.328902098;
